更新时间,#genre#
2026-02-06 03:06:28,#genre#

央视频道,#genre#
央视台球,http://124.77.177.88:5555/rtp/239.45.0.44:5140
央视台球,http://171.124.111.237:8085/rtp/226.0.2.216:9640
高尔夫网球,http://124.77.177.88:5555/rtp/239.45.1.72:5140
高尔夫网球,http://124.77.177.88:5555/rtp/233.18.204.181:5140
高尔夫网球,http://124.77.177.88:5555/rtp/239.45.0.48:5140
央视文化精品,http://124.77.177.88:5555/rtp/239.45.1.17:5140
央视文化精品,http://124.77.177.88:5555/rtp/239.45.0.53:5140
央视文化精品,http://124.77.177.88:5555/rtp/233.18.204.186:5140
央视文化精品,http://171.124.111.237:8085/rtp/226.0.2.219:9664
电视指南,http://124.77.177.88:5555/rtp/239.45.1.73:5140
电视指南,http://171.124.111.237:8085/rtp/226.0.2.218:9656
国学频道,http://171.124.111.237:8085/rtp/226.0.2.116:8840
环球奇观,http://171.124.111.237:8085/rtp/226.0.2.111:8800

卫视频道,#genre#
湖南卫视,http://112.254.55.106:22222/rtp/239.253.254.82:8000
湖南卫视,http://124.65.5.35:20000/rtp/239.3.1.132:8012
湖南卫视,http://124.77.177.88:5555/rtp/239.45.3.228:5140
湖南卫视,http://124.77.177.88:5555/rtp/233.18.204.86:5140
湖南卫视,http://222.129.32.179:6666/rtp/239.3.1.132:8012
湖南卫视,http://brucex.space:4022/rtp/239.3.1.132:8012
湖南卫视,http://www.brucex.space:4022/rtp/239.3.1.132:8012
湖南卫视,http://171.124.111.237:8085/rtp/226.0.2.143:9056
湖南卫视,http://183.129.136.102:9999/rtp/233.50.200.190:5140
湖南卫视,http://183.129.136.102:9999/rtp/233.50.201.103:5140
湖南卫视,http://114.248.6.123:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.250.23.126:4022/rtp/239.3.1.132:8012
浙江卫视,http://112.254.55.106:22222/rtp/239.253.254.84:8000
浙江卫视,http://124.65.5.35:20000/rtp/239.3.1.137:8036
浙江卫视,http://124.77.177.88:5555/rtp/233.18.204.84:5140
浙江卫视,http://124.77.177.88:5555/rtp/239.45.3.178:5140
浙江卫视,http://222.129.32.179:6666/rtp/239.3.1.137:8036
浙江卫视,http://brucex.space:4022/rtp/239.3.1.137:8036
浙江卫视,http://www.brucex.space:4022/rtp/239.3.1.137:8036
浙江卫视,http://171.124.111.237:8085/rtp/226.0.2.144:9064
浙江卫视,http://183.129.136.102:9999/rtp/233.50.201.100:5140
浙江卫视,http://183.129.136.102:9999/rtp/233.50.200.231:5140
浙江卫视,http://183.129.136.102:9999/rtp/233.50.200.145:5140
浙江卫视,http://114.248.6.123:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.250.23.126:4022/rtp/239.3.1.137:8036
江苏卫视,http://112.254.55.106:22222/rtp/239.253.254.83:8000
江苏卫视,http://124.65.5.35:20000/rtp/239.3.1.135:8028
江苏卫视,http://124.77.177.88:5555/rtp/239.45.3.177:5140
江苏卫视,http://124.77.177.88:5555/rtp/233.18.204.85:5140
江苏卫视,http://222.129.32.179:6666/rtp/239.3.1.135:8028
江苏卫视,http://brucex.space:4022/rtp/239.3.1.135:8028
江苏卫视,http://www.brucex.space:4022/rtp/239.3.1.135:8028
江苏卫视,http://171.124.111.237:8085/rtp/226.0.2.176:9320
江苏卫视,http://183.129.136.102:9999/rtp/233.50.200.144:5140
江苏卫视,http://183.129.136.102:9999/rtp/233.50.201.106:5140
江苏卫视,http://114.248.6.123:8888/rtp/239.3.1.135:8028
江苏卫视,http://114.250.23.126:4022/rtp/239.3.1.135:8028
东方卫视,http://112.254.55.106:22222/rtp/239.253.254.86:8000
东方卫视,http://124.65.5.35:20000/rtp/239.3.1.136:8032
东方卫视,http://124.77.177.88:5555/rtp/233.18.204.51:5140
东方卫视,http://124.77.177.88:5555/rtp/239.45.3.146:5140
东方卫视,http://222.129.32.179:6666/rtp/239.3.1.136:8032
