央视频道,#genre#
中央新影-老故事,http://111.167.17.186:5002/rtp/225.1.1.188:5002$天津联通
中央新影-发现之旅,http://111.167.17.186:5002/rtp/225.1.1.183:5002$天津联通
早期教育,http://111.167.17.186:5002/rtp/225.1.2.207:5002$天津联通
CCTV-1综合,http://119.98.123.127:8888/rtp/239.254.96.96:8550$湖北电信
CCTV-1综合,http://119.98.123.127:8888/rtp/239.254.96.3:7992$湖北电信
CCTV-2财经,http://119.98.123.127:8888/rtp/239.69.1.102:10250$湖北电信
CCTV-2财经,http://119.98.123.127:8888/rtp/239.254.96.154:8998$湖北电信
CCTV-3综艺,http://119.98.123.127:8888/rtp/239.69.1.122:10370$湖北电信
CCTV-4中文国际,http://119.98.123.127:8888/rtp/239.69.1.138:10466$湖北电信
CCTV-4中文国际,http://119.98.123.127:8888/rtp/239.254.96.155:9004$湖北电信
CCTV-5体育,http://119.98.123.127:8888/rtp/239.69.1.123:10376$湖北电信
CCTV-5体育,http://119.98.123.127:8888/rtp/239.69.1.12:9712$湖北电信
CCTV-5体育,http://119.98.123.127:8888/rtp/239.69.1.13:9718$湖北电信
CCTV-5+体育赛事,http://119.98.123.127:8888/rtp/239.254.96.234:9484$湖北电信
CCTV-5+体育赛事,http://119.98.123.127:8888/rtp/239.254.96.99:8568$湖北电信
CCTV-6电影,http://119.98.123.127:8888/rtp/239.69.1.124:10382$湖北电信
CCTV-7国防军事,http://119.98.123.127:8888/rtp/239.69.1.103:10256$湖北电信
CCTV-7国防军事,http://119.98.123.127:8888/rtp/239.254.96.156:9130$湖北电信
CCTV-8电视剧,http://119.98.123.127:8888/rtp/239.69.1.125:10388$湖北电信
CCTV-9纪录,http://119.98.123.127:8888/rtp/239.69.1.104:10262$湖北电信
CCTV-9纪录,http://119.98.123.127:8888/rtp/239.254.96.157:9016$湖北电信
CCTV-10科教,http://119.98.123.127:8888/rtp/239.69.1.105:10268$湖北电信
CCTV-10科教,http://119.98.123.127:8888/rtp/239.254.96.158:9022$湖北电信
CCTV-11戏曲,http://119.98.123.127:8888/rtp/239.69.1.154:10560$湖北电信
CCTV-11戏曲,http://119.98.123.127:8888/rtp/239.254.96.9:8028$湖北电信
CCTV-12社会与法,http://119.98.123.127:8888/rtp/239.69.1.106:10274$湖北电信
CCTV-12社会与法,http://119.98.123.127:8888/rtp/239.254.96.160:9034$湖北电信
CCTV-13新闻,http://119.98.123.127:8888/rtp/239.254.96.161:9040$湖北电信
CCTV-13新闻,http://119.98.123.127:8888/rtp/239.254.96.11:8040$湖北电信
CCTV-14少儿,http://119.98.123.127:8888/rtp/239.69.1.107:10280$湖北电信
CCTV-14少儿,http://119.98.123.127:8888/rtp/239.254.96.162:9046$湖北电信
CCTV-15音乐,http://119.98.123.127:8888/rtp/239.69.1.155:10566$湖北电信
CCTV-15音乐,http://119.98.123.127:8888/rtp/239.254.96.13:8052$湖北电信
CCTV-16奥林匹克,http://119.98.123.127:8888/rtp/239.69.1.247:11124$湖北电信
CCTV-16奥林匹克4K,http://119.98.123.127:8888/rtp/239.69.1.249:11136$湖北电信
CCTV-17农业农村,http://119.98.123.127:8888/rtp/239.69.1.152:10548$湖北电信
CCTV-17农业农村,http://119.98.123.127:8888/rtp/239.69.1.153:10554$湖北电信
CCTV-4欧洲,http://119.98.123.127:8888/rtp/239.69.1.231:11028$湖北电信
CCTV-4美洲,http://119.98.123.127:8888/rtp/239.69.1.232:11034$湖北电信
CCTV-4K,http://119.98.123.127:8888/rtp/239.69.1.111:10304$湖北电信
中央新影-中学生,http://119.98.123.127:8888/rtp/239.69.2.17:11256$湖北电信
中央新影-老故事,http://119.98.123.127:8888/rtp/239.69.1.85:10150$湖北电信
CGTN,http://119.98.123.127:8888/rtp/239.254.96.175:9124$湖北电信
CGTN,http://119.98.123.127:8888/rtp/239.254.96.7:8016$湖北电信
CGTN-纪录,http://119.98.123.127:8888/rtp/239.69.1.233:11040$湖北电信
CGTN-法语,http://119.98.123.127:8888/rtp/239.69.1.235:11052$湖北电信
CGTN-俄语,http://119.98.123.127:8888/rtp/239.69.1.222:10974$湖北电信
CGTN-西班牙语,http://119.98.123.127:8888/rtp/239.69.1.234:11046$湖北电信
CGTN-阿拉伯语,http://119.98.123.127:8888/rtp/239.69.1.221:10968$湖北电信
中国教育1台,http://119.98.123.127:8888/rtp/239.69.1.110:10298$湖北电信
中国教育2台,http://119.98.123.127:8888/rtp/239.69.1.183:10734$湖北电信
中国教育4台,http://119.98.123.127:8888/rtp/239.69.1.175:10686$湖北电信
CCTV-1综合,http://144.0.57.58:7005/rtp/239.21.1.120:5002$山东电信
CCTV-2财经,http://144.0.57.58:7005/rtp/239.21.1.151:5002$山东电信
CCTV-3综艺,http://144.0.57.58:7005/rtp/239.21.2.45:5002$山东电信
CCTV-4中文国际,http://144.0.57.58:7005/rtp/239.21.1.154:5002$山东电信
CCTV-5体育,http://144.0.57.58:7005/rtp/239.21.2.46:5002$山东电信
CCTV-5+体育赛事,http://144.0.57.58:7005/rtp/239.21.1.142:5002$山东电信
CCTV-6电影,http://144.0.57.58:7005/rtp/239.21.2.47:5002$山东电信
CCTV-7国防军事,http://144.0.57.58:7005/rtp/239.21.1.152:5002$山东电信
CCTV-8电视剧,http://144.0.57.58:7005/rtp/239.21.2.48:5002$山东电信
CCTV-9纪录,http://144.0.57.58:7005/rtp/239.21.1.153:5002$山东电信
CCTV-10科教,http://144.0.57.58:7005/rtp/239.21.1.155:5002$山东电信
CCTV-11戏曲,http://144.0.57.58:7005/rtp/239.21.2.2:5002$山东电信
CCTV-12社会与法,http://144.0.57.58:7005/rtp/239.21.1.156:5002$山东电信
CCTV-13新闻,http://144.0.57.58:7005/rtp/239.21.2.3:5002$山东电信
CCTV-14少儿,http://144.0.57.58:7005/rtp/239.21.1.157:5002$山东电信
CCTV-15音乐,http://144.0.57.58:7005/rtp/239.21.2.4:5002$山东电信
CCTV-17农业农村,http://144.0.57.58:7005/rtp/239.21.1.186:5002$山东电信
CCTV-4欧洲,http://144.0.57.58:7005/rtp/239.21.2.28:5002$山东电信
CCTV-4美洲,http://144.0.57.58:7005/rtp/239.21.2.29:5002$山东电信
CCTV-4K,http://144.0.57.58:7005/rtp/239.21.2.152:5002$山东电信
中央新影-中学生,http://144.0.57.58:7005/rtp/239.21.2.176:5002$山东电信
CGTN,http://144.0.57.58:7005/rtp/239.21.2.30:5002$山东电信
CGTN-纪录,http://144.0.57.58:7005/rtp/239.21.2.31:5002$山东电信
CGTN-法语,http://144.0.57.58:7005/rtp/239.21.2.33:5002$山东电信
CGTN-俄语,http://144.0.57.58:7005/rtp/239.21.2.35:5002$山东电信
CGTN-西班牙语,http://144.0.57.58:7005/rtp/239.21.2.32:5002$山东电信
CGTN-阿拉伯语,http://144.0.57.58:7005/rtp/239.21.2.34:5002$山东电信
中国教育1台,http://144.0.57.58:7005/rtp/239.21.2.7:5002$山东电信
中国教育2台,http://144.0.57.58:7005/rtp/239.21.2.8:5002$山东电信
中国教育4台,http://144.0.57.58:7005/rtp/239.21.2.129:5002$山东电信

卫视频道,#genre#
湖南卫视,http://60.223.72.234:8003/rtp/226.0.2.143:9056
浙江卫视,http://60.223.72.234:8003/rtp/226.0.2.144:9064
江苏卫视,http://60.223.72.234:8003/rtp/226.0.2.176:9320
东方卫视,http://60.223.72.234:8003/rtp/226.0.2.175:9312
深圳卫视,http://60.223.72.234:8003/rtp/226.0.2.147:9088
北京卫视,http://60.223.72.234:8003/rtp/226.0.2.177:9328
广东卫视,http://60.223.72.234:8003/rtp/226.0.2.146:9080
广西卫视,http://60.223.72.234:8003/rtp/226.0.2.231:9760
东南卫视,http://60.223.72.234:8003/rtp/226.0.2.188:9416
海南卫视,http://60.223.72.234:8003/rtp/226.0.2.212:9608
河北卫视,http://60.223.72.234:8003/rtp/226.0.2.178:9336
河南卫视,http://60.223.72.234:8003/rtp/226.0.2.195:9472
湖北卫视,http://60.223.72.234:8003/rtp/226.0.2.150:9112
江西卫视,http://60.223.72.234:8003/rtp/226.0.2.198:9496
四川卫视,http://60.223.72.234:8003/rtp/226.0.2.179:9344
重庆卫视,http://60.223.72.234:8003/rtp/226.0.2.174:9304
贵州卫视,http://60.223.72.234:8003/rtp/226.0.2.180:9352
天津卫视,http://60.223.72.234:8003/rtp/226.0.2.148:9096
安徽卫视,http://60.223.72.234:8003/rtp/226.0.2.145:9072
山东卫视,http://60.223.72.234:8003/rtp/226.0.2.149:9104
辽宁卫视,http://60.223.72.234:8003/rtp/226.0.2.173:9296
黑龙江卫视,http://60.223.72.234:8003/rtp/226.0.2.151:9120
吉林卫视,http://60.223.72.234:8003/rtp/226.0.2.199:9504
山西卫视,http://60.223.72.234:8003/rtp/226.0.2.11:8000
山西卫视,http://60.223.72.234:8003/rtp/226.0.2.152:9128
新疆卫视,http://60.223.72.234:8003/rtp/226.0.2.67:8448
西藏卫视,http://60.223.72.234:8003/rtp/226.0.2.66:8440
中国教育1台,http://60.223.72.234:8003/rtp/226.0.2.181:9360
中国教育1台,http://60.223.72.234:8003/rtp/226.0.2.68:8456
中国教育2台,http://60.223.72.234:8003/rtp/226.0.2.69:8464
中国教育4台,http://60.223.72.234:8003/rtp/226.0.2.70:8472
早期教育,http://60.223.72.234:8003/rtp/226.0.2.99:8704
湖南卫视,http://171.83.96.76:8004/rtp/239.254.96.139:8908
湖南卫视,http://171.83.96.76:8004/rtp/239.254.96.15:8064
浙江卫视,http://171.83.96.76:8004/rtp/239.254.96.18:8082
浙江卫视,http://171.83.96.76:8004/rtp/239.254.96.143:8932
江苏卫视,http://171.83.96.76:8004/rtp/239.254.96.144:8938
江苏卫视,http://171.83.96.76:8004/rtp/239.254.96.17:8076
东方卫视,http://171.83.96.76:8004/rtp/239.254.96.2:7986
东方卫视,http://171.83.96.76:8004/rtp/239.254.96.142:8926
深圳卫视,http://171.83.96.76:8004/rtp/239.254.96.137:8896
深圳卫视,http://171.83.96.76:8004/rtp/239.254.96.34:8178
北京卫视,http://171.83.96.76:8004/rtp/239.254.96.16:8070
北京卫视,http://171.83.96.76:8004/rtp/239.254.96.141:8920
广东卫视,http://171.83.96.76:8004/rtp/239.254.96.140:8914
广东卫视,http://171.83.96.76:8004/rtp/239.254.96.22:8106
广西卫视,http://171.83.96.76:8004/rtp/239.69.1.191:10788
广西卫视,http://171.83.96.76:8004/rtp/239.254.96.23:8112
东南卫视,http://171.83.96.76:8004/rtp/239.254.96.26:8130
东南卫视,http://171.83.96.76:8004/rtp/239.69.1.108:10286
海南卫视,http://171.83.96.76:8004/rtp/239.69.1.151:10542
河北卫视,http://171.83.96.76:8004/rtp/239.254.96.113:9616
河北卫视,http://171.83.96.76:8004/rtp/239.254.96.185:9190
河北卫视,http://171.83.96.76:8004/rtp/239.69.1.157:10578
河南卫视,http://171.83.96.76:8004/rtp/239.69.1.168:10644
河南卫视,http://171.83.96.76:8004/rtp/239.254.96.28:8142
