全量更新,#genre#
第一剧场,http://124.78.12.70:8686/rtp/233.18.204.184:5140$上海电信
风云剧场,http://124.78.12.70:8686/rtp/239.45.0.50:5140$上海电信
风云剧场,http://124.78.12.70:8686/rtp/233.18.204.183:5140$上海电信
风云足球,http://124.78.12.70:8686/rtp/239.45.0.43:5140$上海电信
风云足球,http://124.78.12.70:8686/rtp/233.18.204.176:5140$上海电信
风云音乐,http://124.78.12.70:8686/rtp/239.45.0.52:5140$上海电信
风云音乐,http://124.78.12.70:8686/rtp/233.18.204.185:5140$上海电信
世界地理,http://124.78.12.70:8686/rtp/239.45.0.46:5140$上海电信
世界地理,http://124.78.12.70:8686/rtp/233.18.204.179:5140$上海电信
电视指南,http://124.78.12.70:8686/rtp/239.45.1.73:5140$上海电信
怀旧剧场,http://124.78.12.70:8686/rtp/239.45.0.49:5140$上海电信
怀旧剧场,http://124.78.12.70:8686/rtp/233.18.204.182:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/239.45.1.74:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/239.45.0.45:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/233.18.204.178:5140$上海电信
女性时尚,http://124.78.12.70:8686/rtp/239.45.0.47:5140$上海电信
女性时尚,http://124.78.12.70:8686/rtp/233.18.204.180:5140$上海电信
高尔夫网球,http://124.78.12.70:8686/rtp/239.45.1.72:5140$上海电信
高尔夫网球,http://124.78.12.70:8686/rtp/239.45.0.48:5140$上海电信
高尔夫网球,http://124.78.12.70:8686/rtp/233.18.204.181:5140$上海电信
央视台球,http://124.78.12.70:8686/rtp/239.45.0.44:5140$上海电信
央视台球,http://124.78.12.70:8686/rtp/233.18.204.177:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/239.45.1.17:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/239.45.0.53:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/233.18.204.186:5140$上海电信
法治天地,http://124.78.12.70:8686/rtp/239.45.1.46:5140$上海电信
法治天地,http://124.78.12.70:8686/rtp/233.18.204.49:5140$上海电信
游戏风云,http://124.78.12.70:8686/rtp/239.45.3.131:5140$上海电信
游戏风云,http://124.78.12.70:8686/rtp/233.18.204.44:5140$上海电信
茶频道,http://124.78.12.70:8686/rtp/239.45.3.18:5140$上海电信
茶频道,http://124.78.12.70:8686/rtp/233.18.204.43:5140$上海电信
金色学堂,http://124.78.12.70:8686/rtp/239.45.0.9:5140$上海电信
金色学堂,http://124.78.12.70:8686/rtp/233.18.204.66:5140$上海电信
金鹰纪实,http://124.78.12.70:8686/rtp/239.45.1.45:5140$上海电信
金鹰纪实,http://124.78.12.70:8686/rtp/233.18.204.104:5140$上海电信
快乐垂钓,http://124.78.12.70:8686/rtp/239.45.3.12:5140$上海电信
快乐垂钓,http://124.78.12.70:8686/rtp/233.18.204.42:5140$上海电信
生活时尚,http://124.78.12.70:8686/rtp/239.45.3.132:5140$上海电信
生活时尚,http://124.78.12.70:8686/rtp/233.18.204.45:5140$上海电信
中国天气,http://124.78.12.70:8686/rtp/239.45.3.141:5140$上海电信
乐游,http://124.78.12.70:8686/rtp/239.45.3.135:5140$上海电信
乐游,http://124.78.12.70:8686/rtp/233.18.204.47:5140$上海电信
动漫秀场,http://124.78.12.70:8686/rtp/239.45.3.134:5140$上海电信
动漫秀场,http://124.78.12.70:8686/rtp/233.18.204.46:5140$上海电信
重庆卫视,http://124.78.12.70:8686/rtp/239.45.1.84:5140$上海电信
重庆卫视,http://124.78.12.70:8686/rtp/233.18.204.100:5140$上海电信
江苏卫视,http://124.78.12.70:8686/rtp/239.45.3.177:5140$上海电信
江苏卫视,http://124.78.12.70:8686/rtp/233.18.204.85:5140$上海电信
浙江卫视,http://124.78.12.70:8686/rtp/239.45.3.178:5140$上海电信
浙江卫视,http://124.78.12.70:8686/rtp/233.18.204.84:5140$上海电信
东方卫视,http://124.78.12.70:8686/rtp/239.45.3.146:5140$上海电信
东方卫视,http://124.78.12.70:8686/rtp/233.18.204.51:5140$上海电信
深圳卫视,http://124.78.12.70:8686/rtp/239.45.3.231:5140$上海电信
深圳卫视,http://124.78.12.70:8686/rtp/233.18.204.89:5140$上海电信
北京卫视,http://124.78.12.70:8686/rtp/239.45.3.229:5140$上海电信
北京卫视,http://124.78.12.70:8686/rtp/233.18.204.87:5140$上海电信
山东卫视,http://124.78.12.70:8686/rtp/239.45.3.238:5140$上海电信
山东卫视,http://124.78.12.70:8686/rtp/233.18.204.91:5140$上海电信
天津卫视,http://124.78.12.70:8686/rtp/239.45.1.124:5140$上海电信
天津卫视,http://124.78.12.70:8686/rtp/233.18.204.97:5140$上海电信
贵州卫视,http://124.78.12.70:8686/rtp/239.45.1.80:5140$上海电信
贵州卫视,http://124.78.12.70:8686/rtp/233.18.204.101:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/239.45.1.23:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/239.45.1.83:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/233.18.204.99:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/239.45.3.206:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/239.45.0.4:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/233.18.204.106:5140$上海电信
广西卫视,http://124.78.12.70:8686/rtp/239.45.0.5:5140$上海电信
广西卫视,http://124.78.12.70:8686/rtp/233.18.204.107:5140$上海电信
黑龙江卫视,http://124.78.12.70:8686/rtp/239.45.3.232:5140$上海电信
黑龙江卫视,http://124.78.12.70:8686/rtp/233.18.204.90:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/239.45.3.143:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/239.45.1.120:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/233.18.204.93:5140$上海电信
山西卫视,http://124.78.12.70:8686/rtp/239.45.3.205:5140$上海电信
山西卫视,http://124.78.12.70:8686/rtp/239.45.0.57:5140$上海电信
江西卫视,http://124.78.12.70:8686/rtp/239.45.1.122:5140$上海电信
江西卫视,http://124.78.12.70:8686/rtp/233.18.204.95:5140$上海电信
湖北卫视,http://124.78.12.70:8686/rtp/239.45.3.239:5140$上海电信
湖北卫视,http://124.78.12.70:8686/rtp/233.18.204.92:5140$上海电信
陕西卫视,http://124.78.12.70:8686/rtp/233.18.204.211:5140$上海电信
陕西卫视,http://124.78.12.70:8686/rtp/233.18.204.223:5140$上海电信
东南卫视,http://124.78.12.70:8686/rtp/239.45.1.121:5140$上海电信
东南卫视,http://124.78.12.70:8686/rtp/233.18.204.94:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.0.6:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.3.248:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/233.18.204.108:5140$上海电信
辽宁卫视,http://124.78.12.70:8686/rtp/239.45.1.123:5140$上海电信
辽宁卫视,http://124.78.12.70:8686/rtp/233.18.204.96:5140$上海电信
内蒙古卫视,http://124.78.12.70:8686/rtp/233.18.204.217:5140$上海电信
湖南卫视,http://124.78.12.70:8686/rtp/239.45.3.228:5140$上海电信
湖南卫视,http://124.78.12.70:8686/rtp/233.18.204.86:5140$上海电信
